folder,name_settings_mismatch,processed_mode_slug,scene,key,scene_label,key_label,threshold_db,ratio,knee_db,attack_ms,release_ms,max_reduction_db,unprocessed_mean_margin_db,unprocessed_worst_margin_db,unprocessed_stoi,basic_mean_margin_db,basic_worst_margin_db,basic_stoi,processed_mean_margin_db,processed_worst_margin_db,processed_stoi
-24Thesh20dBKnee_AttackFast_ReleaseSlow_4Ratio_2026-09-01_1217,False,advanced_summedbus,Construction,Dialogue,Construction,Dialogue,-24.0,4.0,20.0,5.0,400.0,24.0,-9.510487202972335,-40.788034937712254,0.3931825505195169,-7.9743687327927875,-40.788034937712254,0.4335953816971864,-7.85949349816227,-40.808440730251164,0.42264479097118024
-24Thesh6dBKnee_AttackFast_ReleaseSlow_4Ratio_2026-09-01_1104,False,advanced_summedbus,Construction,Dialogue,Construction,Dialogue,-24.0,4.0,6.0,5.0,400.0,24.0,-9.510487202972335,-40.788034937712254,0.39318255051951695,-8.791732369988283,-40.788034937712254,0.4091690719599524,-8.682407427674258,-40.808440730251164,0.4061995007008533
-36Thesh12dBKnee_AttackFast_ReleaseSlow_LowRatio_2026-09-01_1101,False,advanced_summedbus,Construction,Dialogue,Construction,Dialogue,-36.0,1.5,12.0,5.0,400.0,24.0,-9.510487202972335,-40.788034937712254,0.39318255051951695,-5.956796006965894,-40.78803466876758,0.48795501184016205,-5.928065584902275,-40.80844035553406,0.45523693564957146
-36Thesh12dBKnee_AttackMedium_Releasemedium_LowRatio_2026-09-01_1100,False,advanced_summedbus,Construction,Dialogue,Construction,Dialogue,-36.0,1.5,12.0,15.0,120.0,24.0,-9.510487202972335,-40.788034937712254,0.39318255051951695,-8.036130272698648,-40.788034937712254,0.4344872032032609,-7.9099230072215505,-40.808440730251164,0.4258302648032628
-36Thesh12dBKnee_AttackXFast_Releasemedium_LowRatio_2026-09-01_1057,False,advanced_summedbus,Construction,Dialogue,Construction,Dialogue,-36.0,1.5,12.0,1.0,120.0,24.0,-9.510487202972335,-40.788034937712254,0.3931825505195169,-5.89949273674237,-40.76724181431969,0.48405183698368515,-5.773853512734676,-40.787570225782176,0.46155443910919025
-36Thesh20dBKnee_AttackFast_ReleaseSlow_4Ratio_2026-09-01_1105,False,advanced_summedbus,Construction,Dialogue,Construction,Dialogue,-36.0,4.0,20.0,5.0,400.0,24.0,-9.510487202972335,-40.788034937712254,0.39318255051951695,-0.9533682808620776,-40.773889405669536,0.5884748234489984,-1.0013875006645414,-40.794228214653344,0.5141115684320257
-48Thesh12dBKnee_AttackFast_ReleaseSlow_LowRatio_2026-09-01_1048,False,advanced_summedbus,Construction,Dialogue,Construction,Dialogue,-48.0,1.5,12.0,5.0,400.0,24.0,-9.510487202972335,-40.788034937712254,0.3931825505195169,-1.2634262984030862,-40.06442749024068,0.6036522396955069,-1.3246281761612357,-40.09392418913684,0.5174223808186585
-48Thesh12dBKnee_AttackFast_Releasemedium_LowRatio_2026-09-01_1052,False,advanced_summedbus,Construction,Dialogue,Construction,Dialogue,-48.0,1.5,12.0,5.0,120.0,24.0,-9.510487202972335,-40.788034937712254,0.3931825505195168,-2.8076120678718945,-40.42185968842886,0.561950673626766,-2.7288541587804263,-40.444473081707585,0.5061412414698836
-48Thesh12dBKnee_Attackslow_Releasemedium_LowRatio_2026-09-01_1055,False,advanced_summedbus,Construction,Dialogue,Construction,Dialogue,-48.0,1.5,12.0,50.0,120.0,24.0,-9.510487202972335,-40.788034937712254,0.39318255051951695,-5.9386889368164715,-40.788034937712254,0.48989938737358557,-5.994262679023036,-40.808440730251164,0.4592277524893019
