threshold_db,ratio,knee_db,attack_ms,release_ms,advanced_mean_margin_gain_db,advanced_stoi_gain,advanced_masked_reduction_pp
-35.0,7.736866885338603,10.344668687767301,13.849914011779854,174.94421267803574,3.6616876867811827,0.06482255282496646,4.4979223316152215
-35.0,4.704485865782546,14.190347173104897,24.02742000076287,256.2793320101455,3.2255784920628434,0.05799795424470505,4.2537944259676195
-35.0,5.937249098556076,17.407695611317507,49.85151411085854,315.34198267401706,2.577997866482666,0.04570588307380946,3.5353575813937397
-35.0,3.1783360850493994,20.05318168658816,4.672771353110603,375.0967100621169,5.559521355988682,0.0931084707309831,8.268742421308964
-35.0,7.620382475908077,10.849761139388697,12.45513217757383,251.84195143880885,4.288437464588007,0.07450755766458772,5.752741581531467
-35.0,8.876698760649973,13.881549111874117,44.79985559390622,149.03302036974674,1.7779688133042306,0.032807711865215805,2.061972950422927
-35.0,6.2569671763042445,15.23642668313487,8.121559047590608,271.11476246186714,5.000162153728157,0.0862649813190916,7.051553818930806
-35.0,9.096515768368263,16.436611764816117,5.6565320166571835,330.65944329629616,5.630630340219682,0.095177065356009,8.313453070300355
-35.0,6.173997507828887,11.473823485443525,8.5009042607679,76.23769444884942,3.3338073572741225,0.05818310274823385,3.7161910738360007
-35.0,4.188589413598812,1.6791037819075019,3.533276612397145,232.2130478919665,5.053072473267117,0.0902335726233695,6.917437869698958
-35.0,9.46725405911208,20.1887202830446,3.2002025031644723,115.58082906380969,5.141684897052988,0.0965831847616585,6.897469534539788
-35.0,5.525624040809886,3.9019749726331545,48.48516715351911,131.94365347876933,1.0392156493256621,0.017623133086094867,1.0360120339891523
-35.0,9.95683935991447,22.590878549593707,27.77298061108306,165.9269005446126,3.3464255200645674,0.06230182898760672,4.472332639678555
-35.0,1.9199636104006323,8.066968367733425,29.751712190333482,399.42924102953225,2.131799155494944,0.03849170195799623,2.9819703624714293
-35.0,4.065611261175379,18.628932918827925,13.260413536638504,89.95803156655968,3.0455713092646537,0.05710225479308384,3.7353935271102614
-35.0,2.2135702184244628,3.2068808206108006,26.638539380531736,156.2270055271602,1.5411652734817283,0.028335349112959207,1.6919242541142694
-35.0,6.307573355289004,4.742504649160914,15.502775833929048,373.03252444305934,4.314001207637748,0.07271778448306104,5.895714769380696
-35.0,8.04773461566085,5.708399031034589,41.34083507032047,163.25840369037954,1.6007311247200295,0.027531540329295112,1.722465995584109
-35.0,2.530703452777292,7.281068462798771,11.71550825025393,389.18871758067667,4.071628314688945,0.06917985188746067,5.578723628510289
-35.0,6.434679405452677,19.463059970832976,43.84083761754896,270.24725217570847,2.8222434063841426,0.050388940771063206,3.803791392891476
-35.0,9.218640602927692,6.497302635661315,24.73936002104304,365.11390050589415,3.6249212098276615,0.062122828132416485,4.676843264755995
-35.0,8.734855163993299,17.846022790746606,44.33084980550783,170.57010622270633,2.1905232685826483,0.041122269994910976,2.8292140171152553
-35.0,4.355068801016644,16.022522588956356,18.621351929521293,206.67036852918477,3.401592957590033,0.06199423896379436,4.489766905191431
-35.0,2.395242931570802,6.348567552188704,7.70213997820769,286.94496530455126,4.126670095706453,0.07129345645012714,5.474142716598607
-35.0,7.02285826598185,15.750675534584351,19.605128355751784,46.13301001162097,1.898767804662648,0.03480372200500215,2.091565922463616
-35.0,1.6727923999912238,0.8021374247907564,31.660172079269156,379.0097875899402,1.6069737101262191,0.030024168282298813,2.133917496035636
-35.0,3.890811217271994,13.357389439920953,25.700757418678037,291.0019993813097,3.1423336711287755,0.05552528631298875,4.143986456631836
-35.0,3.3397898289530015,15.475416363240962,42.27502878219352,366.1451186068359,2.5611568274025824,0.045136008779355974,3.555208841488742
-35.0,4.462159706363471,3.6159793458462177,22.557462355750438,70.33868548632853,1.5068758677401863,0.02537427731113051,1.538010022273646
-35.0,4.916105219423034,18.20717662762978,33.13473721105254,96.70202614361882,1.9153339066075858,0.037069204594391225,2.2628955523159675
-35.0,5.918786948876808,8.48916913251209,9.921418407531965,310.6505863852756,4.69121138015533,0.08036578962619118,6.430553635351842
-35.0,7.558302799253157,23.465658364152684,13.15272463748359,159.22011758790865,4.421848628545179,0.0792044264901991,5.942529415561694
-35.0,4.884750487656793,12.396945254613005,30.4254192099087,386.42133567307775,3.339737286876683,0.0575715795508534,4.532866971459278
-35.0,7.506094214269228,10.014834091245891,34.34350064955331,215.91098280334097,2.3465188842798463,0.04267569322202286,2.953572950077003
-35.0,3.0316664461751497,22.196274559414494,41.904628596777144,301.5931460098792,2.706090365406391,0.048170025997747945,3.8000562328831435
-35.0,6.876864769451721,7.060643312675323,18.920941743120235,233.26288613421053,3.3486589718407345,0.05937549156693667,4.177620596141672
-35.0,4.780010077257915,3.378537701719568,41.14632947746029,52.56601192477558,0.5918884887553233,0.009422237211330065,0.5177096439636912
-35.0,8.510841240310382,4.091774833060357,38.11701036913426,108.13705124040399,1.2925659487236683,0.02195358411486531,1.3219732474128705
-35.0,4.5024999480001195,12.547899382972531,35.9714851304083,339.308069307846,2.808021947748456,0.04932200520941926,3.792569844686099
-35.0,9.291722075967037,2.544413865676951,16.580573241415376,198.40732458996538,3.3643195086677116,0.05857675007195212,3.9630230394005466
-35.0,7.856902803427096,10.580288544690262,38.80831727959239,68.9728581823282,1.1072606064098203,0.01981241747832596,1.103096795545028
-35.0,8.418678782848065,1.3249928412264902,33.538604413460746,55.494754974885566,0.8563729325030334,0.013747615780188849,0.742142794955555
-35.0,9.888933943274445,1.6892757972632504,26.251738382820047,264.6132167515134,2.9256809048524532,0.051311894466155916,3.6542939518573334
-35.0,2.8060057743685247,9.075866544837675,25.46968594510338,360.43623607070765,2.9321511225573387,0.051566742391709,3.934660036550852
-35.0,5.60005744248273,23.80434677080998,34.94230526798899,308.36982118040413,3.664355864238795,0.0641816740207703,5.295878154782187
-35.0,3.3773648367698614,14.447511221280653,28.009931230341724,299.21144421869434,2.96062167699902,0.05266398331602523,3.961402683103749
-35.0,2.1021709880164376,13.668803462891066,22.055158471373517,285.9231808212466,2.538826826029858,0.0463832313507182,3.4798634539730244
-35.0,3.688514662374041,16.740343254429842,27.36812336616558,48.2451878901355,1.368273575613804,0.026068898389605077,1.5250714934597909
-35.0,3.621686203512191,7.538306911719635,37.668654535006866,104.82407990744423,1.1821222270940464,0.021066005898575713,1.2467947094534537
-35.0,5.833208594872269,0.16546315270723322,5.93021276943634,78.75409375646646,3.524994521170332,0.060052857580189634,3.8109644579763895
-35.0,3.4710150707665264,21.202073740413184,14.910732115049372,353.6732398156774,4.542201420552851,0.07698957293088055,6.626651132018857
-35.0,7.911176446398087,14.87047525956984,29.027184441504986,198.75173051530052,2.8298361833985055,0.05229002835411001,3.7079628234768762
-35.0,7.0374092289359425,17.747829684968146,20.924056559143693,334.19158784812333,4.265754625427651,0.0730381189382922,6.04116588675862
-35.0,1.660419055703556,19.04961316336125,17.7592454940705,34.00785840639148,0.9666652925761756,0.01994680741649707,1.153889843667372
-35.0,7.376661215031908,16.12868954091693,40.62672240867758,119.68593520439501,1.8242550506691746,0.03436834369761699,2.149116983888476
-35.0,3.8049772388083367,9.79265218324038,32.568915822045724,177.17275012911603,1.964291997401311,0.03599842344260684,2.2845186983117927
-35.0,2.298206588113129,0.6969010373692694,48.696016184102675,211.39857204621785,0.9789621044641645,0.018058537675664066,1.0721207674032698
-35.0,5.254969733434828,1.9671569522087213,47.87968757811299,180.65622013487908,1.3037427089877358,0.021611876110983197,1.3118337138214713
-35.0,1.7662817620563498,22.345692538034214,43.06085895979597,141.4985310696721,1.2625967184658737,0.025479687400597917,1.5846350507917606
-35.0,2.0396813673091105,9.308477694541496,45.80378223510914,62.009742786734,0.4194382386369071,0.00941022043129125,0.45379589104716445
-35.0,2.9127578319385314,20.579334107907766,47.32631007551869,82.10247312957122,1.2224332416194787,0.02434773007239316,1.4272207134287385
-35.0,9.651406587732355,5.90865965675987,49.44447661746912,101.08270435786584,0.9422401376094367,0.015730178145399842,0.8599183966008965
-35.0,2.7044030347576298,15.029555092461893,35.607855263140536,280.14981769599973,2.274344347186207,0.04154523135731264,3.0803869107332886
-35.0,6.411720088730761,10.260621698011974,6.718372381191617,86.66178234707478,3.7043355611785698,0.06549360844066177,4.323101797692935
-35.0,8.208069825874281,4.379344287271919,11.986263258529666,94.8611632830161,2.9920156907085946,0.050324383282088214,3.1172391199152045
-35.0,7.188408541350165,6.776836571663646,30.335771295737253,114.49381475907123,1.733152720543396,0.030674048519724495,1.9025756874617699
-35.0,9.818891839106382,12.220497045332163,24.075867740953875,243.1768716612411,3.3016311193405405,0.05936707574648881,4.280255673413386
-35.0,9.378955100767417,9.400129365599504,21.276237504741218,224.48885513114527,3.2509131683863757,0.05832661105089498,4.120436190445332
-35.0,4.268040859947989,12.987858608466684,46.876066731660465,336.49865009785316,2.3057232805932903,0.04072447768277471,3.135248458373141
-35.0,5.2317713447489,2.7054420535827495,36.389527973208025,35.8620862295319,0.4830480498761407,0.007616927061965428,0.461811524518815
-35.0,7.987692915813007,16.951024129241702,17.138536119918612,40.82865031057088,2.071742131682619,0.037706237197860204,2.3008585280759632
-35.0,6.7056159079575135,18.914198831162476,46.43954375895966,150.96274383895837,2.011128516152543,0.03796860077707187,2.554955842802329
-35.0,8.661391817153676,21.864819184617797,9.268386656408257,323.2997731911073,5.488351688891854,0.09239874942811738,8.088782460311918
-35.0,9.507039357432008,4.885314810474366,1.1367233320131112,126.412269572881,5.274533078457644,0.10009669324191328,6.942250441315387
-35.0,7.200169703511275,23.55767398395802,5.029213253563941,136.29892698221556,5.103869113328553,0.09398979882762937,7.027045612127836
-35.0,6.545495525598166,2.355733045812821,17.287847712012407,355.3207754748301,4.038913636789618,0.06872222297514996,5.256159363213172
-35.0,8.57868990684105,11.893248234137573,10.614691638892497,29.804870456994223,2.1546953285152304,0.03461645565159843,2.205244922037174
-35.0,5.407166165015544,8.677363172061241,11.02423875999816,326.3274291717935,4.600903721110239,0.07848207778976896,6.3489328694263705
-35.0,4.598417554697387,11.586806347555282,39.52308417399479,248.64356544103444,2.183852719151772,0.03972944304920628,2.840237028978649
-35.0,8.221845615564042,19.347016248645446,20.532470084368533,381.91058147523734,4.659832683088782,0.07814976361011616,6.766984657081366
-35.0,8.980599347006368,8.364482844297104,45.24078891872988,142.26377107885986,1.4452729321277538,0.025090411381116562,1.5587507078363743
-35.0,6.606751384675309,6.210388460573382,38.68501314255571,236.64608798898317,2.0632422084997435,0.03649539938553936,2.4640909180356516
-35.0,5.145075698766365,22.99756618580715,9.53827306242378,124.70416246209938,4.305631290566789,0.07847486111936053,5.588779365669964
-35.0,6.791216663737134,18.43426626044205,22.601930396835638,296.57465958403066,3.9806471909967263,0.06978135761806692,5.612646035985868
-35.0,9.679625565834135,19.903775153934223,7.138032731998989,320.07627835874825,5.594153032017544,0.09454554602180049,8.278979655866827
-35.0,3.0033260899562464,3.045064638197993,28.5773232648221,394.47093356402087,2.8144760126573516,0.04908803375795184,3.7416957540732696
-35.0,5.745174179196602,23.04111320173704,23.104537339712916,347.11796904710104,4.446358589911988,0.0756757424336017,6.50781592435392
-35.0,5.04904107994374,20.78541353886601,40.088682044552456,277.9253557477249,3.002235157348456,0.05345836996715636,4.100546221614309
-35.0,8.382192966403412,1.0791992524832623,16.12966450852747,220.7300433888011,3.529435886498602,0.061246451310704275,4.220153388507491
-35.0,1.5118595671611021,5.403781735527857,20.019985274700076,226.45451467269422,1.4631428884470665,0.029061938748636718,1.8292300234057208
-35.0,3.7724014853959402,0.3535350719879863,43.491353094747446,59.83858748745841,0.5269907580146516,0.008872913680517125,0.47843136877833103
-35.0,1.9565746447863221,17.151310060910095,4.2361539874254985,187.994907564672,4.007847398823478,0.07109962308742102,5.2100751223702275
-35.0,6.015757816822617,12.91695089671483,14.653208724839168,186.76987176502826,3.664772452256587,0.06572377387596756,4.688155282605521
-35.0,5.4117342779118935,11.05401808731458,32.24697308067246,23.91435122038775,0.5680104472195175,0.01010513488622522,0.5516105565208846
-35.0,3.2673354982945106,21.47844575611485,37.01628132833244,259.7231675695924,2.7689550647945484,0.049785325644828404,3.7802824762386322
-35.0,4.046555046908944,21.764315804535748,31.08601239775179,205.94768676968755,2.9711983610047152,0.054515131589951527,3.9976978363730495
-35.0,2.6698932010054883,5.168384771016591,33.88838005683408,191.9083538177004,1.5960070226626177,0.02906964228329395,1.789216221895181
-35.0,2.449536660087252,20.937343254592967,1.6332168197356065,343.57116529794354,5.743146054655103,0.09726641304877087,8.574190952274279
-35.0,7.307074481287382,13.983436065764735,2.322194193651415,247.36296525298482,5.699065624526648,0.10052951288600337,8.205437888947436
-35.0,8.915695376771758,7.880199049015522,2.509466632755215,21.53275721804674,3.310393056720695,0.051355830279847914,3.3704965741217805
