threshold_db,ratio,knee_db,attack_ms,release_ms,basic_mean_margin_gain_db,basic_stoi_gain,basic_masked_reduction_pp,advanced_mean_margin_gain_db,advanced_stoi_gain,advanced_masked_reduction_pp
-18.496707693595667,2.72179688841405,13.142624332814178,46.17885977717394,209.76141738535128,6.934645828771124e-05,2.0512859555399388e-06,0.0016642985497696827,-0.06983769342132007,0.0019236512391166971,-0.01611048721130004
-38.15317425845829,6.103535416887214,3.2342297111556872,36.56481621332598,269.6590222906646,3.716520510517878,0.0973339608228232,7.289196445396506,3.719461798458142,0.06462871889134136,4.878678118242696
-46.943823446785125,7.2841499839652455,7.576981580787094,37.97123120633153,282.3433506963041,6.328371524849908,0.17708875476574942,16.507788876210235,6.29565932332658,0.09977293168545537,10.151600451320768
-24.223626842099733,5.605240195402436,14.549789239023333,23.922973817149092,23.466450188890768,0.01011074344424756,0.0001791046965705645,0.02803642614517088,-0.04760738604822912,0.0020115849197140934,0.022137016826548006
-38.3722645672239,7.033243528472641,3.844688316096815,47.42158043370142,195.3614284740798,2.7790930333078787,0.07074594862749423,5.163506446655546,2.8320370277683615,0.050009862262080096,3.500727083477443
-38.774498838198554,2.7768858097888014,5.112991397474044,16.629598765924598,203.2029426517858,4.304820196954264,0.11308554214851901,8.701233909518713,4.363814070719319,0.07738659189810515,5.857170443164009
-25.76853340365419,1.8418411151620615,0.2678679426978957,20.478983162695275,310.14379194476794,0.0993023062192595,0.0021075285918766284,0.18954387333029388,0.04031512169999196,0.003342990039824245,0.1354643211407378
-54.173051980543605,4.8359711146976565,6.32388721180385,29.019209612643376,53.76980454680431,6.1642338414297715,0.17585415431356893,14.646048125792149,6.189924293995323,0.10983137860873454,9.219035913531705
-55.362402537284254,9.556148235556723,16.04795758367964,22.457960230481866,238.29160850313218,6.87880477912632,0.19198105941840088,18.70555130562297,6.876829348916377,0.10430746632909688,11.281393664583064
-53.505334020099106,9.864709558521623,16.75386750337116,5.023718135368175,354.04596037485646,6.9494728215330035,0.1931108456555945,19.10894371602017,6.944945655006219,0.10447945145679643,11.390850693448037
-18.615974296693032,2.066249471380776,18.11409209959966,20.70948205351327,215.8135810408133,0.014262986356980534,0.0004108817398785769,0.028515068174705505,-0.04265588470267723,0.0021950941664288237,0.03125147175774856
-36.138604128686154,5.3273281060528275,11.429001408647537,21.207666313944966,394.64319048037555,4.5010959626096865,0.12049123586265703,9.967510364334288,4.502343675145627,0.07583784007913152,6.509748333931974
-36.66715282930133,8.159971214985223,13.669562222963009,28.190100373244096,31.058713589331838,1.433829068501657,0.032026449159512915,2.293033817429041,1.4891443351997946,0.02623396666863903,1.5629184483857017
-57.915002232184236,8.21164492755776,2.9913679843099823,24.836599507374473,320.360315947278,6.910147571581204,0.19257861480276167,18.912274370439185,6.895872870650765,0.10403766388664676,11.321293829001256
-47.46008370838947,3.856850043522271,8.663455508277092,49.27024643461733,379.5856330543877,6.345877511171321,0.1774663621853843,16.822423442743727,6.315094166214113,0.09813100612184755,10.295517065529602
-41.31878748976616,8.283363020393221,22.454093357643696,33.48470283023518,251.08079120359707,5.595819336013305,0.15633751721577688,13.517847455417503,5.658007527489016,0.09373739523346875,8.674640107402254
-52.06600779129167,8.730304744518396,14.909756738453435,9.112122179496817,316.3424627480609,6.9078986989674975,0.19253947808799016,18.907565652366152,6.905071549742511,0.10453153079600153,11.307268410862292
-25.025213401017183,4.405732970132869,12.086099643159777,27.733984552182356,287.26401990307147,0.18293653351141081,0.00461937066822371,0.3419465168420004,0.14445288995566585,0.005220379581280077,0.22806112958546265
-22.522647388759694,2.8205418454122615,2.328614995908155,17.862199732808484,178.83616937415871,0.007205116516026067,0.00015962446353229298,0.02285097400539371,-0.05055616819913844,0.0020141435226180837,0.0041541555163178145
-23.49647912607329,6.692830618735308,6.065976012909424,3.5747847386406315,367.1631925831412,0.9019250524522349,0.018064442784112122,1.4466290525314207,1.0150278568451032,0.014408552570641275,0.9496091075125435
